"","Group","value","std","r","Min","Max","groups","Type","Time","Element"
"75","NP2",1128.07499999999,241.730560593809,3,935.414999999981,1399.31999999998,"ab","leaf",15,"exp2"
"76","P1",1039.85699999999,30.6315705155709,3,1004.62049999998,1060.13699999999,"abc","leaf",15,"exp2"
"77","P2",814.242000000003,18.2572804861495,3,796.243500000008,832.747500000004,"bc","leaf",15,"exp2"
"78","CK",822.861000000001,99.9789987985001,3,755.176499999996,937.696500000003,"a","stem",15,"exp2"
"79","N1",885.221999999999,222.857644581122,3,686.731500000021,1126.3005,"a","stem",15,"exp2"
"80","N2",871.533000000004,61.9842491343475,3,809.172000000005,933.133499999987,"a","stem",15,"exp2"
"81","NP1",726.024000000001,128.779247533323,3,629.693999999991,872.293499999993,"a","stem",15,"exp2"
"82","NP2",719.940000000006,46.7093957330789,3,666.958500000013,755.176499999996,"a","stem",15,"exp2"
"83","P1",731.093999999989,83.1916554604574,3,644.143499999985,809.932500000004,"a","stem",15,"exp2"
"84","P2",704.729999999997,137.143968575914,3,572.656499999989,846.4365,"a","stem",15,"exp2"
"85","CK",63.5299166666649,25.1613057597672,3,47.784749999996,92.5486249999989,"b","leaf",33,"exp2"
"86","N1",102.526666666662,20.1925645312582,3,82.6621249999927,123.031999999996,"ab","leaf",33,"exp2"
"87","N2",118.180291666664,13.1629150037488,3,102.984374999994,126.052874999999,"ab","leaf",33,"exp2"
"88","NP1",180.703250000005,40.9071429604592,3,135.115500000007,214.207500000008,"a","leaf",33,"exp2"
"89","NP2",125.59516666667,10.9655301416022,3,117.814125000008,138.136375,"ab","leaf",33,"exp2"
"90","P1",102.984375000001,45.9018250986889,3,49.9817500000006,129.623,"ab","leaf",33,"exp2"
"91","P2",123.855875000004,30.3991392448531,3,102.984375000004,158.733250000001,"ab","leaf",33,"exp2"
"92","CK",59.2274583333351,8.5634281288382,3,52.7279999999942,68.9308750000052,"a","stem",33,"exp2"
"93","N1",85.9576250000013,26.6768186247447,3,65.6353750000031,116.166375000002,"a","stem",33,"exp2"
"94","N2",83.2113750000012,30.7432844262355,3,59.044374999999,117.814124999999,"a","stem",33,"exp2"
"95","NP1",55.8404166666666,5.1985673482192,3,52.1787500000052,61.7906250000023,"a","stem",33,"exp2"
"96","NP2",72.5009999999969,9.62363744576048,3,62.6145000000004,81.8382499999946,"a","stem",33,"exp2"
"97","P1",62.522958333334,22.6733389276926,3,40.3698750000035,85.6829999999954,"a","stem",33,"exp2"
"98","P2",66.8254166666638,13.7376564221812,3,54.3757500000001,81.5636249999953,"a","stem",33,"exp2"
